months,years,vol
2.00,0.167,44.840
3.00,0.250,44.885
4.00,0.333,44.765
6.00,0.500,42.910
8.00,0.667,42.300
12.00,1.000,46.640
14.00,1.167,49.900
18.00,1.500,51.460
20.00,1.667,53.295
22.00,1.833,52.635
24.00,2.000,51.760
26.00,2.167,46.840
28.00,2.333,46.075
30.00,2.500,41.910
32.00,2.667,39.045
34.00,2.833,38.555
36.00,3.000,37.275
38.00,3.167,36.575
40.00,3.333,36.365
42.00,3.500,35.785
44.00,3.667,35.245
46.00,3.833,35.125
48.00,4.000,34.045
50.00,4.167,32.215
52.00,4.333,32.100
54.00,4.500,30.555
56.00,4.667,29.300
58.00,4.833,29.185
60.00,5.000,28.280
62.00,5.167,27.870
64.00,5.333,27.760
66.00,5.500,27.310
68.00,5.667,26.855
70.00,5.833,26.705
72.00,6.000,26.210
74.00,6.167,25.735
76.00,6.333,25.630
78.00,6.500,25.200
80.00,6.667,24.810
82.00,6.833,24.715
84.00,7.000,24.365
86.00,7.167,24.090
88.00,7.333,24.025
90.00,7.500,23.745
92.00,7.667,23.490
94.00,7.833,23.410
96.00,8.000,23.150
98.00,8.167,22.945
100.00,8.333,22.890
102.00,8.500,22.685
104.00,8.667,22.500
106.00,8.833,22.440
108.00,9.000,22.310
110.00,9.167,22.305
112.00,9.333,22.265
114.00,9.500,22.255
116.00,9.667,22.245
118.00,9.833,22.205
120.00,10.000,22.120
122.00,11.000,21.500
124.00,12.000,21.140
126.00,13.000,21.060
128.00,14.000,20.890
180.00,15.000,21.455
192.00,16.000,20.480
204.00,17.000,20.200
216.00,18.000,19.935
228.00,19.000,19.725
240.00,20.000,19.480
300.00,25.000,16.895
360.00,30.000,17.650